Subject Description,Catalog Number,Class Number,Class Title,Class Section Number,Course Component Description,Academic Term Description,Class Academic Group Description,Meeting Start Time,Meeting End Time,Days,Building Code,Room,Enrollment Total
Bioengineering,1210,13301,BIOENGINEERING THERMODYNAMICS,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:15 AM,Tu Th             ,BENDM,00320,45
Bioengineering,1210,13473,BIOENGINEERING THERMODYNAMICS,1020,Recitation,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,10:50 AM,W                 ,BENDM,00G37,45
Bioengineering,1210,22986,BIOENGINEERING THERMODYNAMICS,1060,Lecture,Spring Term 2016-2017,Swanson School of Engineering,09:00 AM,10:15 AM,M W               ,BENDM,00320,43
Bioengineering,1210,22987,BIOENGINEERING THERMODYNAMICS,1065,Recitation,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,01:50 PM,Tu                ,BENDM,00318,43
Bioengineering,1241,13482,"SOCTL, POL & ETHCL ISS BIOENG",1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,08:30 AM,09:45 AM,M W               ,BENDM,00318,45
Bioengineering,1310,13464,LINEAR SYSTEMS & ELECTRONICS 1,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,02:30 PM,03:45 PM,Tu Th             ,BENDM,00157,88
Bioengineering,1310,13465,LINEAR SYSTEMS & ELECTRONICS 1,1060,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,06:30 PM,09:00 PM,Th                ,BENDM,00B10,15
Bioengineering,1310,13596,LINEAR SYSTEMS & ELECTRONICS 1,1040,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,06:30 PM,09:00 PM,Tu                ,BENDM,00B10,25
Bioengineering,1310,13597,LINEAR SYSTEMS & ELECTRONICS 1,1050,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,06:30 PM,09:00 PM,W                 ,BENDM,00B10,23
Bioengineering,1310,19241,LINEAR SYSTEMS & ELECTRONICS 1,1070,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,06:30 PM,09:00 PM,M                 ,BENDM,00B10,25
Bioengineering,1383,17729,BIOMEDICAL OPTICAL MICROSCOPY,1060,Lecture,Spring Term 2016-2017,Swanson School of Engineering,09:00 AM,10:15 AM,Tu Th             ,BENDM,00318,27
Bioengineering,1533,24673,CONTROLLED DRUG DELIVERY,1070,Lecture,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:15 PM,M Th              ,BENDM,00309,20
Bioengineering,1580,30924,BIOMD APPLC OF SIGNAL PROCING,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,10:30 AM,11:45 AM,M W               ,BENDM,00G31,25
Bioengineering,1580,30947,BIOMD APPLC OF SIGNAL PROCING,1030,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,10:30 AM,12:25 PM,F                 ,BENDM,00320,25
Bioengineering,1586,26331,QUAN SYSTEMS NEUROSCIENCE,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,01:50 PM,M W F             ,BENDM,00158,10
Bioengineering,1620,13581,INTRO TO TISSUE ENGINEERING,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,01:15 PM,M W               ,BENDM,00320,22
Bioengineering,1630,13252,BIOMECH 1-MECHL PRIN BIO SYMS,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,03:30 PM,04:45 PM,M W               ,BENDM,00320,42
Bioengineering,1630,13315,BIOMECH 1-MECHL PRIN BIO SYMS,1015,Recitation,Spring Term 2016-2017,Swanson School of Engineering,09:00 AM,09:50 AM,Tu                ,BENDM,00320,42
Bioengineering,1630,22988,BIOMECH 1-MECHL PRIN BIO SYMS,1100,Lecture,Spring Term 2016-2017,Swanson School of Engineering,11:30 AM,12:45 PM,Tu Th             ,BENDM,00320,45
Bioengineering,1630,22991,BIOMECH 1-MECHL PRIN BIO SYMS,1105,Recitation,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,12:50 PM,W                 ,BENDM,00226,45
Bioengineering,1632,16321,BIOMECH 3: BIODYNAMICS OF MOVM,1070,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,01:45 PM,Th                ,BENDM,00G36,19
Bioengineering,1632,16321,BIOMECH 3: BIODYNAMICS OF MOVM,1070,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,12:50 PM,Tu                ,BENDM,00G36,19
Bioengineering,1680,26422,BIOMEDICAL APPLC OF CONTROL,1040,Lecture,Spring Term 2016-2017,Swanson School of Engineering,10:30 AM,11:45 AM,M W               ,BENDM,00320,23
Bioengineering,1680,28539,BIOMEDICAL APPLC OF CONTROL,1035,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,09:30 AM,11:55 AM,F                 ,BENDM,00229,23
Bioengineering,2001,13445,MATH METHODS BIOENGINEERING 1,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:15 PM,W F               ,BENDM,00G36,8
Bioengineering,2016,20056,FUNDM PRIN BIDEGRBL METLC ALLY,1080,Lecture,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:15 PM,M W               ,BENDM,00312,2
Bioengineering,2023,13221,BIOENGINEERING SEMINAR SERIES,1060,Seminar,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,05:25 PM,Th                ,BENDM,00157,49
Bioengineering,2024,13440,BIOENGINEERING SEM FOR PROF MS,1060,Seminar,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,05:25 PM,Th                ,BENDM,00157,0
Bioengineering,2067,16486,MUSCULOSKELETAL BIOMECHANICS,1060,Lecture,Spring Term 2016-2017,Swanson School of Engineering,09:30 AM,10:45 AM,Tu Th             ,BENDM,00158,4
Bioengineering,2151,19851,MEDICAL PRODUCT DEVELOPMENT,1060,Lecture,Spring Term 2016-2017,Swanson School of Engineering,06:00 PM,09:00 PM,Tu                ,BENDM,00320,23
Bioengineering,2165,28444,MEDICAL PRODUCT ENTREPRENEUR,1100,Lecture,Spring Term 2016-2017,Swanson School of Engineering,06:00 PM,09:00 PM,M                 ,BENDM,00320,10
Bioengineering,2170,23525,CLINICAL BIOENGINEERING,1050,Lecture,Spring Term 2016-2017,Swanson School of Engineering,06:00 PM,09:00 PM,Th                ,BENDM,00320,18
Bioengineering,2242,28757,"SOCTL, POL & ETHCL ISS BIOT 2",1200,Lecture,Spring Term 2016-2017,Swanson School of Engineering,06:00 PM,09:00 PM,W                 ,BENDM,00320,16
Bioengineering,2383,17730,BIOMEDICAL OPTICAL MICROSCOPY,1060,Lecture,Spring Term 2016-2017,Swanson School of Engineering,09:00 AM,10:15 AM,Tu Th             ,BENDM,00318,0
Bioengineering,2385,26654,ENGR MEDL FOR QUAN IMAG ANAL,1060,Lecture,Spring Term 2016-2017,Swanson School of Engineering,06:00 PM,09:00 PM,F                 ,BENDM,00319,6
Bioengineering,2540,25003,NEURAL BIOMAT & TISSUE ENGR,1050,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,04:00 PM,F                 ,BENDM,00226,7
Bioengineering,2620,18733,INTRO TO TISSUE ENGINEERING,1080,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,01:15 PM,M W               ,BENDM,00320,13
Bioengineering,2632,24636,BIOMECH 3: BIODYNAMICS OF MOVM,1070,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,01:45 PM,Th                ,BENDM,00G36,1
Bioengineering,2632,24636,BIOMECH 3: BIODYNAMICS OF MOVM,1070,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,12:50 PM,Tu                ,BENDM,00G36,1
Bioengineering,2675,20500,FINITE ELASTICITY OF SOFT TISU,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,06:30 PM,Tu                ,BENDM,00G30,1
Bioengineering,2810,13323,BIOMATRL & BIOCOMPATIBILITY,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,12:15 PM,Tu Th             ,BENDM,00G30,12
Bioengineering,3602,25485,TMJ REGENERATION AND MECHANICS,1050,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,12:50 PM,M W F             ,BENDM,00G26,0
Biological Sciences,3002,28784,ADV LRNG EVID-BASED STEM TCH,1340,Lecture,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,04:30 PM,05:25 PM,Th                ,BENDM,00318,1
Cellular & Molecular Pathology,2760,13865,INTRO TO TISSUE ENGINEERING,1080,Lecture,Spring Term 2016-2017,School of Medicine,12:00 PM,01:15 PM,M W               ,BENDM,00320,4
Cellular & Molecular Pathology,2770,19308,BIOMATRLS & BIOCOMPATIBILITY,1070,Lecture,Spring Term 2016-2017,School of Medicine,11:00 AM,12:15 PM,Tu Th             ,BENDM,00G30,3
Chemical Engineering,0200,13452,CHEMICAL ENGR THERMODYNAMICS,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,09:50 AM,M W F             ,BENDM,00938A,63
Chemical Engineering,0200,13452,CHEMICAL ENGR THERMODYNAMICS,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,09:50 AM,M W F             ,BENDM,00938B,63
Chemical Engineering,0200,13456,CHEMICAL ENGR THERMODYNAMICS,1015,Recitation,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,09:50 AM,Tu                ,BENDM,00938B,63
Chemical Engineering,0200,13456,CHEMICAL ENGR THERMODYNAMICS,1015,Recitation,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,09:50 AM,Tu                ,BENDM,00938A,63
Chemical Engineering,0200,20183,CHEMICAL ENGR THERMODYNAMICS,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,09:50 AM,M W F             ,BENDM,00309,61
Chemical Engineering,0200,20184,CHEMICAL ENGR THERMODYNAMICS,1035,Recitation,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,09:50 AM,Th                ,BENDM,00309,61
Chemical Engineering,0201,13453,CHE THERMODYNAMICS LABORATORY,1030,Practicum,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,09:50 AM,Th                ,BENDM,00938A,63
Chemical Engineering,0201,13453,CHE THERMODYNAMICS LABORATORY,1030,Practicum,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,09:50 AM,Th                ,BENDM,00938B,63
Chemical Engineering,0201,20195,CHE THERMODYNAMICS LABORATORY,1040,Practicum,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,09:50 AM,Tu                ,BENDM,00309,61
Chemical Engineering,0214,24183,INT TO CHEMICAL PRODC DESIGN,1050,Lecture,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,02:50 PM,M W F             ,BENDM,00938A,65
Chemical Engineering,0214,24183,INT TO CHEMICAL PRODC DESIGN,1050,Lecture,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,02:50 PM,M W F             ,BENDM,00938B,65
Chemical Engineering,0214,31008,INT TO CHEMICAL PRODC DESIGN,1060,Lecture,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,03:50 PM,M W F             ,BENDM,00938A,57
Chemical Engineering,0400,13454,REACTIVE PROCESS ENGINEERING,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,M W F             ,BENDM,00938B,58
Chemical Engineering,0400,13454,REACTIVE PROCESS ENGINEERING,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,M W F             ,BENDM,00938A,58
Chemical Engineering,0400,13457,REACTIVE PROCESS ENGINEERING,1015,Recitation,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,Tu                ,BENDM,00938B,58
Chemical Engineering,0400,13457,REACTIVE PROCESS ENGINEERING,1015,Recitation,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,Tu                ,BENDM,00938A,58
Chemical Engineering,0400,25617,REACTIVE PROCESS ENGINEERING,1060,Recitation,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,Th                ,BENDM,00309,58
Chemical Engineering,0400,25676,REACTIVE PROCESS ENGINEERING,1050,Lecture,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,M W F             ,BENDM,00309,58
Chemical Engineering,0401,13455,REACTIVE PROCESS ENGR LAB,1060,Practicum,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,Th                ,BENDM,00938B,55
Chemical Engineering,0401,13455,REACTIVE PROCESS ENGR LAB,1060,Practicum,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,Th                ,BENDM,00938A,55
Chemical Engineering,0401,25618,REACTIVE PROCESS ENGR LAB,1070,Practicum,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,Tu                ,BENDM,00309,58
Chemical Engineering,0602,13466,CHE SAFETY AND ETHICS,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,02:50 PM,M W               ,BENDM,00309,77
Chemical Engineering,0602,29598,CHE SAFETY AND ETHICS,1070,Lecture,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,02:50 PM,M W               ,BENDM,00320,59
Chemical Engineering,0613,16582,SYS ENGNR 2: PROCESS DESIGN,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,01:50 PM,M Tu W F          ,BENDM,00309,76
Chemical Engineering,0613,28354,SYS ENGNR 2: PROCESS DESIGN,1050,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,01:50 PM,M Tu W F          ,BENDM,00938A,58
Chemical Engineering,0613,28354,SYS ENGNR 2: PROCESS DESIGN,1050,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,01:50 PM,M Tu W F          ,BENDM,00938B,58
Chemical Engineering,1085,13170,DEPARTMENTAL SEMINAR,1030,Colloquium,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,12:50 PM,W                 ,BENDM,00157,326
Chemical Engineering,1533,20211,CONTROLLED DRUG DELIVERY,1070,Lecture,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:15 PM,M Th              ,BENDM,00309,11
Chemical Engineering,2016,20057,FUNDM PRIN BIDEGRBL METLC ALLY,1080,Lecture,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:15 PM,M W               ,BENDM,00312,4
Chemical Engineering,2301,29606,FUNDAMNTL TRANSPORT PROCES 1,1085,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:30 PM,06:15 PM,M W               ,BENDM,00938A,35
Chemical Engineering,2301,29606,FUNDAMNTL TRANSPORT PROCES 1,1085,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:30 PM,06:15 PM,M W               ,BENDM,00938B,35
Chemical Engineering,2811,13446,BIOMATRL & BIOCOMPATIBILITY,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,12:15 PM,Tu Th             ,BENDM,00G30,4
Chemical Engineering,3910,13175,INDIVIDUAL STUDY,1010,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16902,INDIVIDUAL STUDY,1020,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16903,INDIVIDUAL STUDY,1030,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16904,INDIVIDUAL STUDY,1040,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16905,INDIVIDUAL STUDY,1050,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16906,INDIVIDUAL STUDY,1060,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16907,INDIVIDUAL STUDY,1070,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16908,INDIVIDUAL STUDY,1080,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16909,INDIVIDUAL STUDY,1090,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16910,INDIVIDUAL STUDY,1100,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16911,INDIVIDUAL STUDY,1110,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16912,INDIVIDUAL STUDY,1120,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16913,INDIVIDUAL STUDY,1130,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16914,INDIVIDUAL STUDY,1140,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16915,INDIVIDUAL STUDY,1150,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16916,INDIVIDUAL STUDY,1160,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16917,INDIVIDUAL STUDY,1170,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemical Engineering,3910,16918,INDIVIDUAL STUDY,1180,Independent Study,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,01249,0
Chemistry,0970,11260,GENERAL CHEM FOR ENGINEERS 2,1045,Lecture,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,11:00 AM,11:50 AM,M W               ,BENDM,00229,69
Chemistry,0970,11262,GENERAL CHEM FOR ENGINEERS 2,1035,Lecture,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,10:00 AM,10:50 AM,M W               ,BENDM,00229,77
Chemistry,3002,28697,ADV LRNG  EVID-BSD STEM TCHNG,1340,Lecture,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,04:30 PM,05:25 PM,Th                ,BENDM,00318,1
Civil & Environmental Engineer,0109,16322,COMPUTER METH IN CIVIL ENGRG 1,1070,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,05:15 PM,M W               ,BENDM,00319,61
Civil & Environmental Engineer,0109,16323,COMPUTER METH IN CIVIL ENGRG 1,1090,Recitation,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,12:50 PM,Th                ,BENDM,00319,30
Civil & Environmental Engineer,0109,20002,COMPUTER METH IN CIVIL ENGRG 1,1085,Recitation,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,12:50 PM,Tu                ,BENDM,00319,31
Civil & Environmental Engineer,1105,13139,MATERIALS OF CONSTRUCTION,1015,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,03:50 PM,M                 ,BENDM,0SB90,16
Civil & Environmental Engineer,1105,13204,MATERIALS OF CONSTRUCTION,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,11:50 AM,Tu Th             ,BENDM,00319,61
Civil & Environmental Engineer,1105,13582,MATERIALS OF CONSTRUCTION,1012,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,M                 ,BENDM,0SB90,15
Civil & Environmental Engineer,1105,13583,MATERIALS OF CONSTRUCTION,1020,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,09:00 AM,10:50 AM,W                 ,BENDM,0SB90,16
Civil & Environmental Engineer,1105,13584,MATERIALS OF CONSTRUCTION,1028,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,03:50 PM,W                 ,BENDM,0SB90,14
Civil & Environmental Engineer,1233,13234,CONSTRUCTION DESIGN PROJECT,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,01:50 PM,Tu Th             ,BENDM,00319,11
Civil & Environmental Engineer,1233,13235,CONSTRUCTION DESIGN PROJECT,1040,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,03:50 PM,Tu Th             ,BENDM,00319,11
Civil & Environmental Engineer,1330,13458,INTRO TO STRUCTURAL ANALYSIS,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,02:30 PM,03:45 PM,Tu Th             ,BENDM,00G29,39
Civil & Environmental Engineer,1333,13140,STRUCTURAL DESIGN PROJECT,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,01:50 PM,Tu Th             ,BENDM,00319,11
Civil & Environmental Engineer,1333,13141,STRUCTURAL DESIGN PROJECT,1040,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,03:50 PM,Tu Th             ,BENDM,00319,11
Civil & Environmental Engineer,1341,13142,STEEL STRUCTURES 1,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,09:30 AM,10:45 AM,Tu Th             ,BENDM,00319,24
Civil & Environmental Engineer,1401,20399,OPEN CHANNEL HYDRAULICS,1070,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,05:15 PM,Tu Th             ,BENDM,00G28,44
Civil & Environmental Engineer,1402,13449,FLUID MECHANICS,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,02:15 PM,M W               ,BENDM,00G37,39
Civil & Environmental Engineer,1412,26043,INTRODUCTION TO HYDROLOGY,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,12:15 PM,M W               ,BENDM,00227,44
Civil & Environmental Engineer,1433,13222,WATER RESOURCES DESIGN PROJECT,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,01:50 PM,Tu Th             ,BENDM,00319,0
Civil & Environmental Engineer,1433,13223,WATER RESOURCES DESIGN PROJECT,1040,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,03:50 PM,Tu Th             ,BENDM,00319,0
